Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 123.0.0.0,,,26-03-2024 23:17:31,26-03-2024 23:17:32,0.796s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,26-03-2024 23:17:32,26-03-2024 23:17:33,0.494s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,26-03-2024 23:17:33,26-03-2024 23:17:33,0.214s,PASSED
,,,,,,,
Test Cases/Login,Chrome 123.0.0.0,,,26-03-2024 23:17:33,26-03-2024 23:17:40,7.478s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,26-03-2024 23:17:33,26-03-2024 23:17:35,1.909s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,26-03-2024 23:17:35,26-03-2024 23:17:35,0.212s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 123.0.0.0,,,26-03-2024 23:17:35,26-03-2024 23:17:38,3.043s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 123.0.0.0,,,26-03-2024 23:17:38,26-03-2024 23:17:39,1.260s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,26-03-2024 23:17:39,26-03-2024 23:17:40,0.764s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,26-03-2024 23:17:40,26-03-2024 23:17:40,0.250s,PASSED
