Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
,,,,,,,
Test Cases/Login,Chrome 123.0.0.0,,,26-03-2024 23:02:58,26-03-2024 23:03:07,9.467s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,26-03-2024 23:02:58,26-03-2024 23:03:02,3.843s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,26-03-2024 23:03:02,26-03-2024 23:03:03,1.472s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 123.0.0.0,,,26-03-2024 23:03:03,26-03-2024 23:03:06,2.244s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 123.0.0.0,,,26-03-2024 23:03:06,26-03-2024 23:03:06,0.906s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,26-03-2024 23:03:06,26-03-2024 23:03:07,0.473s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,26-03-2024 23:03:07,26-03-2024 23:03:07,0.448s,PASSED
,,,,,,,
Test Cases/Login,Chrome 123.0.0.0,,,26-03-2024 23:03:08,26-03-2024 23:03:14,6.605s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,26-03-2024 23:03:08,26-03-2024 23:03:10,1.846s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,26-03-2024 23:03:10,26-03-2024 23:03:11,1.003s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 123.0.0.0,,,26-03-2024 23:03:11,26-03-2024 23:03:12,1.918s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 123.0.0.0,,,26-03-2024 23:03:12,26-03-2024 23:03:13,0.926s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,26-03-2024 23:03:13,26-03-2024 23:03:14,0.581s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,26-03-2024 23:03:14,26-03-2024 23:03:14,0.257s,PASSED
,,,,,,,
Test Cases/Login,Chrome 123.0.0.0,,,26-03-2024 23:03:14,26-03-2024 23:03:21,6.943s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,26-03-2024 23:03:14,26-03-2024 23:03:16,1.894s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,26-03-2024 23:03:16,26-03-2024 23:03:17,1.041s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 123.0.0.0,,,26-03-2024 23:03:17,26-03-2024 23:03:19,2.071s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 123.0.0.0,,,26-03-2024 23:03:19,26-03-2024 23:03:20,0.885s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,26-03-2024 23:03:20,26-03-2024 23:03:21,0.633s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,26-03-2024 23:03:21,26-03-2024 23:03:21,0.311s,PASSED
